,url,year,season
0,https://www.backstabbr.com/game/The-war-on-drugs/5704487623196672/1901/spring,1901,spring
1,https://www.backstabbr.com/game/The-war-on-drugs/5704487623196672/1901/fall,1902,fall
2,https://www.backstabbr.com/game/The-war-on-drugs/5704487623196672/1901/winter,1903,winter
3,https://www.backstabbr.com/game/The-war-on-drugs/5704487623196672/1902/spring,1904,spring
4,https://www.backstabbr.com/game/The-war-on-drugs/5704487623196672/1902/fall,1905,fall
5,https://www.backstabbr.com/game/The-war-on-drugs/5704487623196672/1902/winter,1906,winter
6,https://www.backstabbr.com/game/The-war-on-drugs/5704487623196672/1903/spring,1907,spring
7,https://www.backstabbr.com/game/The-war-on-drugs/5704487623196672/1903/fall,1908,fall
8,https://www.backstabbr.com/game/The-war-on-drugs/5704487623196672/1903/winter,1909,winter
9,https://www.backstabbr.com/game/The-war-on-drugs/5704487623196672/1904/spring,1910,spring
10,https://www.backstabbr.com/game/The-war-on-drugs/5704487623196672/1904/fall,1911,fall
11,https://www.backstabbr.com/game/The-war-on-drugs/5704487623196672/1904/winter,1912,winter
12,https://www.backstabbr.com/game/The-war-on-drugs/5704487623196672/1905/spring,1913,spring
13,https://www.backstabbr.com/game/The-war-on-drugs/5704487623196672/1905/fall,1914,fall
14,https://www.backstabbr.com/game/The-war-on-drugs/5704487623196672/1905/winter,1915,winter
15,https://www.backstabbr.com/game/The-war-on-drugs/5704487623196672/1906/spring,1916,spring
16,https://www.backstabbr.com/game/The-war-on-drugs/5704487623196672/1906/fall,1917,fall
17,https://www.backstabbr.com/game/The-war-on-drugs/5704487623196672/1906/winter,1918,winter
18,https://www.backstabbr.com/game/The-war-on-drugs/5704487623196672/1907/spring,1919,spring
19,https://www.backstabbr.com/game/The-war-on-drugs/5704487623196672/1907/fall,1920,fall
20,https://www.backstabbr.com/game/The-war-on-drugs/5704487623196672/1907/winter,1921,winter
