year,country,season,year,year
1901,Austria,fall,1901,3
1901,Austria,spring,1901,3
1901,Austria,winter,1901,3
1901,England,fall,1901,3
1901,England,spring,1901,3
1901,England,winter,1901,3
1901,France,fall,1901,3
1901,France,spring,1901,3
1901,France,winter,1901,3
1901,Germany,fall,1901,3
1901,Germany,spring,1901,3
1901,Germany,winter,1901,3
1901,Italy,fall,1901,3
1901,Italy,spring,1901,3
1901,Italy,winter,1901,3
1901,Russia,fall,1901,4
1901,Russia,spring,1901,4
1901,Russia,winter,1901,4
1901,Turkey,fall,1901,3
1901,Turkey,spring,1901,3
1901,Turkey,winter,1901,3
1902,Austria,fall,1902,5
1902,Austria,spring,1902,5
1902,Austria,winter,1902,4
1902,England,fall,1902,3
1902,England,spring,1902,3
1902,England,winter,1902,3
1902,France,fall,1902,6
1902,France,spring,1902,6
1902,France,winter,1902,6
1902,Germany,fall,1902,5
1902,Germany,spring,1902,5
1902,Germany,winter,1902,5
1902,Italy,fall,1902,4
1902,Italy,spring,1902,4
1902,Italy,winter,1902,4
1902,Russia,fall,1902,5
1902,Russia,spring,1902,6
1902,Russia,winter,1902,5
1902,Turkey,fall,1902,4
1902,Turkey,spring,1902,4
1902,Turkey,winter,1902,4
1903,Austria,fall,1903,3
1903,Austria,spring,1903,4
1903,Austria,winter,1903,3
1903,England,fall,1903,4
1903,England,spring,1903,4
1903,England,winter,1903,4
1903,France,fall,1903,6
1903,France,spring,1903,6
1903,France,winter,1903,6
1903,Germany,fall,1903,5
1903,Germany,spring,1903,5
1903,Germany,winter,1903,5
1903,Italy,fall,1903,5
1903,Italy,spring,1903,5
1903,Italy,winter,1903,5
1903,Russia,fall,1903,6
1903,Russia,spring,1903,6
1903,Russia,winter,1903,6
1903,Turkey,fall,1903,4
1903,Turkey,spring,1903,4
1903,Turkey,winter,1903,4
1904,Austria,fall,1904,2
1904,Austria,spring,1904,2
1904,Austria,winter,1904,2
1904,England,fall,1904,3
1904,England,spring,1904,3
1904,England,winter,1904,3
1904,France,fall,1904,8
1904,France,spring,1904,8
1904,France,winter,1904,8
1904,Germany,fall,1904,5
1904,Germany,spring,1904,5
1904,Germany,winter,1904,5
1904,Italy,fall,1904,6
1904,Italy,spring,1904,6
1904,Italy,winter,1904,6
1904,Russia,fall,1904,5
1904,Russia,spring,1904,5
1904,Russia,winter,1904,5
1904,Turkey,fall,1904,5
1904,Turkey,spring,1904,5
1904,Turkey,winter,1904,5
1905,Austria,fall,1905,1
1905,Austria,spring,1905,1
1905,Austria,winter,1905,1
1905,England,fall,1905,2
1905,England,spring,1905,2
1905,England,winter,1905,2
1905,France,fall,1905,8
1905,France,spring,1905,8
1905,France,winter,1905,8
1905,Germany,fall,1905,6
1905,Germany,spring,1905,6
1905,Germany,winter,1905,6
1905,Italy,fall,1905,6
1905,Italy,spring,1905,6
1905,Italy,winter,1905,6
1905,Russia,fall,1905,4
1905,Russia,spring,1905,4
1905,Russia,winter,1905,4
1905,Turkey,fall,1905,7
1905,Turkey,spring,1905,7
1905,Turkey,winter,1905,7
1906,Austria,fall,1906,1
1906,Austria,spring,1906,1
1906,Austria,winter,1906,1
1906,England,fall,1906,1
1906,England,spring,1906,1
1906,England,winter,1906,1
1906,France,fall,1906,9
1906,France,spring,1906,9
1906,France,winter,1906,9
1906,Germany,fall,1906,6
1906,Germany,spring,1906,6
1906,Germany,winter,1906,5
1906,Italy,fall,1906,6
1906,Italy,spring,1906,6
1906,Italy,winter,1906,6
1906,Russia,fall,1906,3
1906,Russia,spring,1906,3
1906,Russia,winter,1906,3
1906,Turkey,fall,1906,8
1906,Turkey,spring,1906,8
1906,Turkey,winter,1906,8
1907,Austria,fall,1907,1
1907,Austria,spring,1907,1
1907,Austria,winter,1907,1
1907,France,fall,1907,8
1907,France,spring,1907,8
1907,France,winter,1907,8
1907,Germany,fall,1907,6
1907,Germany,spring,1907,6
1907,Germany,winter,1907,6
1907,Italy,fall,1907,6
1907,Italy,spring,1907,7
1907,Italy,winter,1907,6
1907,Russia,fall,1907,3
1907,Russia,spring,1907,3
1907,Russia,winter,1907,2
1907,Turkey,fall,1907,9
1907,Turkey,spring,1907,9
1907,Turkey,winter,1907,9
1908,Austria,fall,1908,1
1908,Austria,spring,1908,1
1908,Austria,winter,1908,1
1908,France,fall,1908,9
1908,France,spring,1908,9
1908,France,winter,1908,9
1908,Germany,fall,1908,8
1908,Germany,spring,1908,8
1908,Germany,winter,1908,8
1908,Italy,fall,1908,6
1908,Italy,spring,1908,6
1908,Italy,winter,1908,6
1908,Turkey,fall,1908,9
1908,Turkey,spring,1908,10
1908,Turkey,winter,1908,8
1909,Austria,fall,1909,1
1909,Austria,spring,1909,1
1909,Austria,winter,1909,1
1909,France,fall,1909,9
1909,France,spring,1909,9
1909,France,winter,1909,9
1909,Germany,fall,1909,8
1909,Germany,spring,1909,8
1909,Germany,winter,1909,8
1909,Italy,fall,1909,6
1909,Italy,spring,1909,6
1909,Italy,winter,1909,6
1909,Turkey,fall,1909,10
1909,Turkey,spring,1909,10
1909,Turkey,winter,1909,10
1910,Austria,fall,1910,1
1910,Austria,spring,1910,1
1910,Austria,winter,1910,1
1910,France,fall,1910,9
1910,France,spring,1910,9
1910,France,winter,1910,8
1910,Germany,fall,1910,8
1910,Germany,spring,1910,8
1910,Germany,winter,1910,8
1910,Italy,fall,1910,5
1910,Italy,spring,1910,5
1910,Italy,winter,1910,5
1910,Turkey,fall,1910,11
1910,Turkey,spring,1910,11
1910,Turkey,winter,1910,11
1911,Austria,fall,1911,1
1911,Austria,spring,1911,1
