,country,type_item,type
0,Austria,MOVE,25
1,Austria,SUPPORT,21
2,Austria,HOLD,5
3,Austria,DISBAND,3
4,Austria,BUILD,2
5,Austria,DESTROYED,2
6,England,MOVE,20
7,England,SUPPORT,8
8,England,DISBAND,4
9,England,CONVOY,2
10,England,HOLD,2
11,England,BUILD,1
12,France,MOVE,148
13,France,SUPPORT,110
14,France,HOLD,39
15,France,BUILD,11
16,France,CONVOY,8
17,France,DESTROYED,6
18,France,DISBAND,6
19,Germany,MOVE,185
20,Germany,SUPPORT,121
21,Germany,HOLD,39
22,Germany,BUILD,15
23,Germany,DESTROYED,4
24,Germany,CONVOY,3
25,Italy,MOVE,91
26,Italy,SUPPORT,58
27,Italy,HOLD,23
28,Italy,BUILD,7
29,Italy,DESTROYED,5
30,Italy,DISBAND,5
31,Italy,CONVOY,2
32,Russia,MOVE,31
33,Russia,HOLD,17
34,Russia,SUPPORT,11
35,Russia,DISBAND,5
36,Russia,BUILD,3
37,Russia,DESTROYED,2
38,Turkey,MOVE,189
39,Turkey,SUPPORT,134
40,Turkey,HOLD,47
41,Turkey,BUILD,18
42,Turkey,CONVOY,11
43,Turkey,DESTROYED,5
44,Turkey,DISBAND,1
