,country,year,season,territory
0,Austria,1901,fall,"['Alb', 'Ser', 'Vie']"
1,Austria,1901,spring,"['Bud', 'Tri', 'Vie']"
2,Austria,1901,winter,"['Gre', 'Ser', 'Vie']"
3,Austria,1902,fall,"['Alb', 'Bud', 'Gal', 'Gre', 'Ser']"
4,Austria,1902,spring,"['Bud', 'Gre', 'Ser', 'Tri', 'Vie']"
5,Austria,1902,winter,"['Alb', 'Bud', 'Gal', 'Ser']"
6,Austria,1903,fall,"['Gal', 'Ser', 'Vie']"
7,Austria,1903,spring,"['Alb', 'Bud', 'Gal', 'Ser']"
8,Austria,1903,winter,"['Bud', 'Gal', 'Vie']"
9,Austria,1904,fall,"['Gal', 'Vie']"
10,Austria,1904,spring,"['Bud', 'Vie']"
11,Austria,1904,winter,"['Boh', 'Gal']"
12,Austria,1905,fall,['War']
13,Austria,1905,spring,['Gal']
14,Austria,1905,winter,['War']
15,Austria,1906,fall,['War']
16,Austria,1906,spring,['War']
17,Austria,1906,winter,['War']
18,Austria,1907,fall,['War']
19,Austria,1907,spring,['War']
20,Austria,1907,winter,['War']
21,Austria,1908,fall,['Mos']
22,Austria,1908,spring,['War']
23,Austria,1908,winter,['Stp']
24,Austria,1909,fall,['Stp']
25,Austria,1909,spring,['Stp']
26,Austria,1909,winter,['Stp']
27,Austria,1910,fall,['Stp']
28,Austria,1910,spring,['Stp']
29,Austria,1910,winter,['Stp']
30,Austria,1911,fall,['Stp']
31,Austria,1911,spring,['Stp']
32,Austria,1911,winter,['Stp']
33,Austria,1912,fall,['Stp']
34,Austria,1912,spring,['Stp']
35,Austria,1912,winter,['Stp']
36,Austria,1913,fall,['Stp']
37,Austria,1913,spring,['Stp']
38,Austria,1913,winter,['Stp']
39,Austria,1914,fall,['Stp']
40,Austria,1914,spring,['Stp']
41,Austria,1914,winter,['Stp']
42,Austria,1915,fall,['Stp']
43,Austria,1915,spring,['Stp']
44,Austria,1915,winter,['Stp']
45,Austria,1916,fall,['Nwy']
46,Austria,1916,spring,['Stp']
47,Austria,1916,winter,['Edi']
48,Austria,1917,fall,['Yor']
49,Austria,1917,spring,['Edi']
50,Austria,1917,winter,['Yor']
51,England,1901,fall,"['Edi', 'NTH', 'NWG']"
52,England,1901,spring,"['Edi', 'Lon', 'Lvp']"
53,England,1901,winter,"['Edi', 'NTH', 'NWG']"
54,England,1902,fall,"['NTH', 'NWG', 'Nwy']"
55,England,1902,spring,"['Edi', 'NTH', 'NWG']"
56,England,1902,winter,"['Lon', 'NTH', 'Nwy']"
57,England,1903,fall,"['ENG', 'NAO', 'NTH', 'Nwy']"
58,England,1903,spring,"['Lon', 'Lvp', 'NTH', 'Nwy']"
59,England,1903,winter,"['ENG', 'IRI', 'NTH', 'Stp']"
60,England,1904,fall,"['ENG', 'NAO', 'Nwy']"
61,England,1904,spring,"['ENG', 'IRI', 'NTH']"
62,England,1904,winter,"['ENG', 'NAO', 'Nwy']"
63,England,1905,fall,"['ENG', 'Stp']"
64,England,1905,spring,"['ENG', 'Nwy']"
65,England,1905,winter,"['ENG', 'Stp']"
66,England,1906,fall,['Wal']
67,England,1906,spring,['ENG']
68,England,1906,winter,['Wal']
69,France,1901,fall,"['Bur', 'MAO', 'Spa']"
70,France,1901,spring,"['Bre', 'Mar', 'Par']"
71,France,1901,winter,"['Bel', 'Por', 'Spa']"
72,France,1902,fall,"['Bel', 'ENG', 'MAO', 'Mar', 'Pic', 'Spa']"
73,France,1902,spring,"['Bel', 'Bre', 'Mar', 'Par', 'Por', 'Spa']"
74,France,1902,winter,"['Bel', 'ENG', 'Gas', 'IRI', 'LYO', 'Wal']"
75,France,1903,fall,"['Bel', 'Bre', 'Bur', 'IRI', 'Lvp', 'LYO']"
76,France,1903,spring,"['Bel', 'ENG', 'Gas', 'IRI', 'LYO', 'Wal']"
77,France,1903,winter,"['Bel', 'Bre', 'Bur', 'Edi', 'Lvp', 'Spa']"
78,France,1904,fall,"['Bel', 'Bur', 'Edi', 'Gas', 'IRI', 'MAO', 'Mar', 'Spa']"
79,France,1904,spring,"['Bel', 'Bre', 'Bur', 'Edi', 'Lvp', 'Mar', 'Par', 'Spa']"
80,France,1904,winter,"['Bel', 'Bur', 'Edi', 'Gas', 'IRI', 'MAO', 'Mar', 'Spa']"
81,France,1905,fall,"['Bur', 'Gas', 'IRI', 'MAO', 'Mar', 'Pic', 'Spa', 'Yor']"
82,France,1905,spring,"['Bel', 'Bur', 'Edi', 'Gas', 'IRI', 'MAO', 'Mar', 'Spa']"
83,France,1905,winter,"['Bur', 'Gas', 'IRI', 'Lon', 'Mar', 'Pic', 'Por', 'Spa']"
84,France,1906,fall,"['Bre', 'Bur', 'Gas', 'IRI', 'Lon', 'MAO', 'Mar', 'Pic', 'Por']"
85,France,1906,spring,"['Bre', 'Bur', 'Gas', 'IRI', 'Lon', 'Mar', 'Pic', 'Por', 'Spa']"
