,country,year,season,units
0,Austria,1901,fall,3
1,Austria,1902,fall,5
2,Austria,1903,fall,3
3,Austria,1904,fall,2
4,Austria,1905,fall,1
5,Austria,1906,fall,1
6,Austria,1907,fall,1
7,Austria,1908,fall,1
8,Austria,1909,fall,1
9,Austria,1910,fall,1
10,Austria,1911,fall,1
11,Austria,1912,fall,1
12,Austria,1913,fall,1
13,Austria,1914,fall,1
14,Austria,1915,fall,1
15,Austria,1916,fall,1
16,Austria,1917,fall,1
17,Austria,1901,spring,3
18,Austria,1902,spring,5
19,Austria,1903,spring,4
20,Austria,1904,spring,2
21,Austria,1905,spring,1
22,Austria,1906,spring,1
23,Austria,1907,spring,1
24,Austria,1908,spring,1
25,Austria,1909,spring,1
26,Austria,1910,spring,1
27,Austria,1911,spring,1
28,Austria,1912,spring,1
29,Austria,1913,spring,1
30,Austria,1914,spring,1
31,Austria,1915,spring,1
32,Austria,1916,spring,1
33,Austria,1917,spring,1
34,Austria,1901,winter,3
35,Austria,1902,winter,4
36,Austria,1903,winter,3
37,Austria,1904,winter,2
38,Austria,1905,winter,1
39,Austria,1906,winter,1
40,Austria,1907,winter,1
41,Austria,1908,winter,1
42,Austria,1909,winter,1
43,Austria,1910,winter,1
44,Austria,1911,winter,1
45,Austria,1912,winter,1
46,Austria,1913,winter,1
47,Austria,1914,winter,1
48,Austria,1915,winter,1
49,Austria,1916,winter,1
50,Austria,1917,winter,1
51,England,1901,fall,3
52,England,1902,fall,3
53,England,1903,fall,4
54,England,1904,fall,3
55,England,1905,fall,2
56,England,1906,fall,1
57,England,1901,spring,3
58,England,1902,spring,3
59,England,1903,spring,4
60,England,1904,spring,3
61,England,1905,spring,2
62,England,1906,spring,1
63,England,1901,winter,3
64,England,1902,winter,3
65,England,1903,winter,4
66,England,1904,winter,3
67,England,1905,winter,2
68,England,1906,winter,1
69,France,1901,fall,3
70,France,1902,fall,6
71,France,1903,fall,6
72,France,1904,fall,8
73,France,1905,fall,8
74,France,1906,fall,9
75,France,1907,fall,8
76,France,1908,fall,9
77,France,1909,fall,9
78,France,1910,fall,9
79,France,1911,fall,8
80,France,1912,fall,9
81,France,1913,fall,9
82,France,1914,fall,8
83,France,1915,fall,9
84,France,1916,fall,8
85,France,1917,fall,7
86,France,1918,fall,6
87,France,1919,fall,6
88,France,1920,fall,6
89,France,1921,fall,3
90,France,1901,spring,3
91,France,1902,spring,6
92,France,1903,spring,6
93,France,1904,spring,8
94,France,1905,spring,8
95,France,1906,spring,9
96,France,1907,spring,8
97,France,1908,spring,9
98,France,1909,spring,9
99,France,1910,spring,9
100,France,1911,spring,9
101,France,1912,spring,9
102,France,1913,spring,9
103,France,1914,spring,9
104,France,1915,spring,9
105,France,1916,spring,8
106,France,1917,spring,7
107,France,1918,spring,7
108,France,1919,spring,6
109,France,1920,spring,6
110,France,1921,spring,3
111,France,1901,winter,3
112,France,1902,winter,6
113,France,1903,winter,6
114,France,1904,winter,8
115,France,1905,winter,8
116,France,1906,winter,9
117,France,1907,winter,8
118,France,1908,winter,9
119,France,1909,winter,9
120,France,1910,winter,8
121,France,1911,winter,8
122,France,1912,winter,8
123,France,1913,winter,9
124,France,1914,winter,8
125,France,1915,winter,9
126,France,1916,winter,8
127,France,1917,winter,7
128,France,1918,winter,6
129,France,1919,winter,6
130,France,1920,winter,6
131,France,1921,winter,2
132,Germany,1901,fall,3
133,Germany,1902,fall,5
134,Germany,1903,fall,5
135,Germany,1904,fall,5
136,Germany,1905,fall,6
137,Germany,1906,fall,6
138,Germany,1907,fall,6
139,Germany,1908,fall,8
140,Germany,1909,fall,8
141,Germany,1910,fall,8
142,Germany,1911,fall,8
143,Germany,1912,fall,8
144,Germany,1913,fall,7
145,Germany,1914,fall,8
146,Germany,1915,fall,9
147,Germany,1916,fall,11
148,Germany,1917,fall,12
149,Germany,1918,fall,12
150,Germany,1919,fall,13
151,Germany,1920,fall,13
152,Germany,1921,fall,14
153,Germany,1901,spring,3
154,Germany,1902,spring,5
155,Germany,1903,spring,5
156,Germany,1904,spring,5
157,Germany,1905,spring,6
158,Germany,1906,spring,6
159,Germany,1907,spring,6
160,Germany,1908,spring,8
161,Germany,1909,spring,8
162,Germany,1910,spring,8
163,Germany,1911,spring,8
164,Germany,1912,spring,8
165,Germany,1913,spring,8
166,Germany,1914,spring,9
167,Germany,1915,spring,9
168,Germany,1916,spring,11
169,Germany,1917,spring,12
170,Germany,1918,spring,12
171,Germany,1919,spring,13
172,Germany,1920,spring,13
173,Germany,1921,spring,14
174,Germany,1901,winter,3
175,Germany,1902,winter,5
176,Germany,1903,winter,5
177,Germany,1904,winter,5
178,Germany,1905,winter,6
179,Germany,1906,winter,5
180,Germany,1907,winter,6
181,Germany,1908,winter,8
182,Germany,1909,winter,8
183,Germany,1910,winter,8
184,Germany,1911,winter,8
185,Germany,1912,winter,8
186,Germany,1913,winter,7
187,Germany,1914,winter,8
188,Germany,1915,winter,9
189,Germany,1916,winter,11
190,Germany,1917,winter,12
191,Germany,1918,winter,12
192,Germany,1919,winter,13
193,Germany,1920,winter,12
194,Germany,1921,winter,14
195,Italy,1901,fall,3
196,Italy,1902,fall,4
197,Italy,1903,fall,5
198,Italy,1904,fall,6
199,Italy,1905,fall,6
200,Italy,1906,fall,6
201,Italy,1907,fall,6
202,Italy,1908,fall,6
203,Italy,1909,fall,6
204,Italy,1910,fall,5
205,Italy,1911,fall,5
206,Italy,1912,fall,6
207,Italy,1913,fall,6
208,Italy,1914,fall,5
209,Italy,1915,fall,6
210,Italy,1916,fall,3
211,Italy,1917,fall,3
212,Italy,1918,fall,1
213,Italy,1901,spring,3
214,Italy,1902,spring,4
215,Italy,1903,spring,5
216,Italy,1904,spring,6
217,Italy,1905,spring,6
218,Italy,1906,spring,6
219,Italy,1907,spring,7
220,Italy,1908,spring,6
221,Italy,1909,spring,6
222,Italy,1910,spring,5
223,Italy,1911,spring,5
224,Italy,1912,spring,6
225,Italy,1913,spring,6
226,Italy,1914,spring,6
227,Italy,1915,spring,6
228,Italy,1916,spring,3
229,Italy,1917,spring,3
230,Italy,1918,spring,1
231,Italy,1919,spring,1
232,Italy,1901,winter,3
233,Italy,1902,winter,4
234,Italy,1903,winter,5
235,Italy,1904,winter,6
236,Italy,1905,winter,6
237,Italy,1906,winter,6
238,Italy,1907,winter,6
239,Italy,1908,winter,6
240,Italy,1909,winter,6
241,Italy,1910,winter,5
242,Italy,1911,winter,5
243,Italy,1912,winter,6
244,Italy,1913,winter,5
245,Italy,1914,winter,5
246,Italy,1915,winter,5
247,Italy,1916,winter,3
248,Italy,1917,winter,3
249,Italy,1918,winter,1
250,Russia,1901,fall,4
251,Russia,1902,fall,5
252,Russia,1903,fall,6
253,Russia,1904,fall,5
254,Russia,1905,fall,4
255,Russia,1906,fall,3
256,Russia,1907,fall,3
257,Russia,1901,spring,4
258,Russia,1902,spring,6
259,Russia,1903,spring,6
260,Russia,1904,spring,5
261,Russia,1905,spring,4
262,Russia,1906,spring,3
263,Russia,1907,spring,3
264,Russia,1901,winter,4
265,Russia,1902,winter,5
266,Russia,1903,winter,6
267,Russia,1904,winter,5
268,Russia,1905,winter,4
269,Russia,1906,winter,3
