,country,year,season_number,season,units
0,Austria,1901,1,spring,3
1,Austria,1901,2,fall,3
2,Austria,1901,3,winter,3
3,Austria,1902,4,spring,5
4,Austria,1902,5,fall,5
5,Austria,1902,6,winter,4
6,Austria,1903,7,spring,4
7,Austria,1903,8,fall,3
8,Austria,1903,9,winter,3
9,Austria,1904,10,spring,2
10,Austria,1904,11,fall,2
11,Austria,1904,12,winter,2
12,Austria,1905,13,spring,1
13,Austria,1905,14,fall,1
14,Austria,1905,15,winter,1
15,Austria,1906,16,spring,1
16,Austria,1906,17,fall,1
17,Austria,1906,18,winter,1
18,Austria,1907,19,spring,1
19,Austria,1907,20,fall,1
20,Austria,1907,21,winter,1
21,Austria,1908,22,spring,1
22,Austria,1908,23,fall,1
23,Austria,1908,24,winter,1
24,Austria,1909,25,spring,1
25,Austria,1909,26,fall,1
26,Austria,1909,27,winter,1
27,Austria,1910,28,spring,1
28,Austria,1910,29,fall,1
29,Austria,1910,30,winter,1
30,Austria,1911,31,spring,1
31,Austria,1911,32,fall,1
32,Austria,1911,33,winter,1
33,Austria,1912,34,spring,1
34,Austria,1912,35,fall,1
35,Austria,1912,36,winter,1
36,Austria,1913,37,spring,1
37,Austria,1913,38,fall,1
38,Austria,1913,39,winter,1
39,Austria,1914,40,spring,1
40,Austria,1914,41,fall,1
41,Austria,1914,42,winter,1
42,Austria,1915,43,spring,1
43,Austria,1915,44,fall,1
44,Austria,1915,45,winter,1
45,Austria,1916,46,spring,1
46,Austria,1916,47,fall,1
47,Austria,1916,48,winter,1
48,Austria,1917,49,spring,1
49,Austria,1917,50,fall,1
50,Austria,1917,51,winter,1
51,England,1901,1,spring,3
52,England,1901,2,fall,3
53,England,1901,3,winter,3
54,England,1902,4,spring,3
55,England,1902,5,fall,3
56,England,1902,6,winter,3
57,England,1903,7,spring,4
58,England,1903,8,fall,4
59,England,1903,9,winter,4
60,England,1904,10,spring,3
61,England,1904,11,fall,3
62,England,1904,12,winter,3
63,England,1905,13,spring,2
64,England,1905,14,fall,2
65,England,1905,15,winter,2
66,England,1906,16,spring,1
67,England,1906,17,fall,1
68,England,1906,18,winter,1
69,France,1901,1,spring,3
70,France,1901,2,fall,3
71,France,1901,3,winter,3
72,France,1902,4,spring,6
73,France,1902,5,fall,6
74,France,1902,6,winter,6
75,France,1903,7,spring,6
76,France,1903,8,fall,6
77,France,1903,9,winter,6
78,France,1904,10,spring,8
79,France,1904,11,fall,8
80,France,1904,12,winter,8
81,France,1905,13,spring,8
82,France,1905,14,fall,8
83,France,1905,15,winter,8
84,France,1906,16,spring,9
85,France,1906,17,fall,9
86,France,1906,18,winter,9
87,France,1907,19,spring,8
88,France,1907,20,fall,8
89,France,1907,21,winter,8
90,France,1908,22,spring,9
91,France,1908,23,fall,9
92,France,1908,24,winter,9
93,France,1909,25,spring,9
94,France,1909,26,fall,9
95,France,1909,27,winter,9
96,France,1910,28,spring,9
97,France,1910,29,fall,9
98,France,1910,30,winter,8
99,France,1911,31,spring,9
100,France,1911,32,fall,8
101,France,1911,33,winter,8
102,France,1912,34,spring,9
103,France,1912,35,fall,9
104,France,1912,36,winter,8
105,France,1913,37,spring,9
106,France,1913,38,fall,9
