,country,unitChange,year,season,season_number
0,Turkey,1,1901,winter,3
1,England,0,1901,winter,3
2,France,3,1901,winter,3
3,Austria,2,1901,winter,3
4,Germany,2,1901,winter,3
5,Italy,1,1901,winter,3
6,Russia,2,1901,winter,3
7,Turkey,0,1902,winter,6
8,Italy,1,1902,winter,6
9,France,0,1902,winter,6
10,Austria,0,1902,winter,6
11,Germany,0,1902,winter,6
12,England,1,1902,winter,6
13,Russia,1,1902,winter,6
14,Turkey,1,1903,winter,9
15,England,-1,1903,winter,9
16,France,2,1903,winter,9
17,Austria,-1,1903,winter,9
18,Germany,0,1903,winter,9
19,Italy,1,1903,winter,9
20,Russia,-1,1903,winter,9
21,Turkey,2,1904,winter,12
22,Italy,0,1904,winter,12
23,France,0,1904,winter,12
24,Austria,-1,1904,winter,12
25,Germany,1,1904,winter,12
26,England,-1,1904,winter,12
27,Russia,-1,1904,winter,12
28,Turkey,1,1905,winter,15
29,Italy,0,1905,winter,15
30,France,1,1905,winter,15
31,Austria,0,1905,winter,15
32,Germany,0,1905,winter,15
33,England,-1,1905,winter,15
34,Russia,-1,1905,winter,15
35,Turkey,1,1906,winter,18
36,Italy,1,1906,winter,18
37,France,-1,1906,winter,18
38,Austria,0,1906,winter,18
39,Germany,1,1906,winter,18
40,England,-1,1906,winter,18
41,Russia,0,1906,winter,18
42,Turkey,1,1907,winter,21
43,Italy,0,1907,winter,21
44,France,1,1907,winter,21
45,Austria,0,1907,winter,21
46,Germany,2,1907,winter,21
47,Russia,-2,1907,winter,21
48,Turkey,2,1908,winter,24
49,Italy,0,1908,winter,24
50,Austria,0,1908,winter,24
51,Germany,0,1908,winter,24
52,France,0,1908,winter,24
53,Turkey,1,1909,winter,27
54,Italy,-1,1909,winter,27
55,Austria,0,1909,winter,27
56,Germany,0,1909,winter,27
57,France,0,1909,winter,27
58,Turkey,0,1910,winter,30
59,Italy,0,1910,winter,30
60,Austria,0,1910,winter,30
61,Germany,0,1910,winter,30
62,France,1,1910,winter,30
63,Turkey,-1,1911,winter,33
64,Italy,1,1911,winter,33
65,Austria,0,1911,winter,33
66,Germany,0,1911,winter,33
67,France,1,1911,winter,33
68,Turkey,1,1912,winter,36
69,Italy,0,1912,winter,36
70,Austria,0,1912,winter,36
71,Germany,0,1912,winter,36
72,France,1,1912,winter,36
73,Turkey,0,1913,winter,39
74,Italy,1,1913,winter,39
75,Austria,0,1913,winter,39
76,Germany,2,1913,winter,39
77,France,0,1913,winter,39
78,Turkey,0,1914,winter,42
79,Italy,1,1914,winter,42
80,Austria,0,1914,winter,42
81,Germany,1,1914,winter,42
82,France,1,1914,winter,42
83,Turkey,3,1915,winter,45
84,Italy,-2,1915,winter,45
85,Austria,0,1915,winter,45
86,Germany,2,1915,winter,45
87,France,-1,1915,winter,45
88,Turkey,0,1916,winter,48
89,Italy,0,1916,winter,48
90,Austria,0,1916,winter,48
91,Germany,1,1916,winter,48
92,France,-1,1916,winter,48
93,Turkey,1,1917,winter,51
94,Italy,-2,1917,winter,51
95,Austria,-1,1917,winter,51
96,Germany,0,1917,winter,51
97,France,2,1917,winter,51
98,Turkey,0,1918,winter,54
99,Italy,0,1918,winter,54
100,Germany,1,1918,winter,54
101,France,2,1918,winter,54
102,Turkey,2,1919,winter,57
103,Germany,0,1919,winter,57
104,France,1,1919,winter,57
105,Turkey,1,1920,winter,60
106,Germany,4,1920,winter,60
107,France,-3,1920,winter,60
108,Turkey,4,1921,winter,63
109,Germany,1,1921,winter,63
110,France,-2,1921,winter,63
