,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,country,territory,unit_type,year,season,season_number
0,0,0,0,0,0,0,Austria,Bud,A,1901,spring,1
1,1,1,1,1,1,1,Austria,Tri,F,1901,spring,1
2,2,2,2,2,2,2,Austria,Vie,A,1901,spring,1
3,3,3,3,3,3,3,England,Edi,F,1901,spring,1
4,4,4,4,4,4,4,England,Lon,F,1901,spring,1
5,5,5,5,5,5,5,England,Lvp,A,1901,spring,1
6,6,6,6,6,6,6,France,Bre,F,1901,spring,1
7,7,7,7,7,7,7,France,Mar,A,1901,spring,1
8,8,8,8,8,8,8,France,Par,A,1901,spring,1
9,9,9,9,9,9,9,Germany,Ber,A,1901,spring,1
10,10,10,10,10,10,10,Germany,Kie,F,1901,spring,1
11,11,11,11,11,11,11,Germany,Mun,A,1901,spring,1
12,12,12,12,12,12,12,Italy,Nap,F,1901,spring,1
13,13,13,13,13,13,13,Italy,Rom,A,1901,spring,1
14,14,14,14,14,14,14,Italy,Ven,A,1901,spring,1
15,15,15,15,15,15,15,Russia,Mos,A,1901,spring,1
16,16,16,16,16,16,16,Russia,Sev,F,1901,spring,1
17,17,17,17,17,17,17,Russia,Stp,F,1901,spring,1
18,18,18,18,18,18,18,Russia,War,A,1901,spring,1
19,19,19,19,19,19,19,Turkey,Ank,F,1901,spring,1
20,20,20,20,20,20,20,Turkey,Con,A,1901,spring,1
21,21,21,21,21,21,21,Turkey,Smy,A,1901,spring,1
22,22,22,22,22,22,22,Austria,Alb,F,1901,fall,2
23,23,23,23,23,23,23,Austria,Ser,A,1901,fall,2
24,24,24,24,24,24,24,Austria,Vie,A,1901,fall,2
25,25,25,25,25,25,25,England,Edi,A,1901,fall,2
26,26,26,26,26,26,26,England,NTH,F,1901,fall,2
27,27,27,27,27,27,27,England,NWG,F,1901,fall,2
28,28,28,28,28,28,28,France,Bur,A,1901,fall,2
29,29,29,29,29,29,29,France,MAO,F,1901,fall,2
30,30,30,30,30,30,30,France,Spa,A,1901,fall,2
31,31,31,31,31,31,31,Germany,Den,F,1901,fall,2
32,32,32,32,32,32,32,Germany,Kie,A,1901,fall,2
33,33,33,33,33,33,33,Germany,Ruh,A,1901,fall,2
34,34,34,34,34,34,34,Italy,Apu,A,1901,fall,2
35,35,35,35,35,35,35,Italy,ION,F,1901,fall,2
